ECONOMY,YEAR,US Dollars at current prices and current exchange rates in millions,US Dollars at current prices and current exchange rates per capita,Percentage of total world,Percentage of Gross Domestic Product
          Saint Lucia,1998,665.115,4342.275351,0.011541912,101.1536165
          Saint Lucia,1999,748.267,4821.183732,0.010483573,108.0749611
          Saint Lucia,2000,802.015,5104.86417,0.01076527,114.5753901
          Saint Lucia,2001,860.822,5418.780176,0.011512031,129.4108797
          Saint Lucia,2002,912.758,5687.284645,0.012168132,134.6655337
          Saint Lucia,2003,1019.184,6289.124063,0.010856796,139.0056122
          Saint Lucia,2004,1095.704,6696.188375,0.009870617,136.5583826
          Saint Lucia,2005,1173.937,7102.931478,0.010152523,138.601834
          Saint Lucia,2006,1407.872,8430.270296,0.009844977,149.4109804
          Saint Lucia,2007,1679.763,9951.615292,0.009383588,165.0566316
          Saint Lucia,2008,1840.974,10789.65444,0.011914699,169.9442357
          Saint Lucia,2009,1987.371,11523.7971,0.011015853,187.0709102
          Saint Lucia,2010,2097.361,12035.33084,0.010535976,180.2472566
          Saint Lucia,2011,2173.156,12344.39117,0.010632816,177.2964744
          Saint Pierre and Miquelon,1980,..,..,..,..
          Saint Pierre and Miquelon,1981,..,..,..,..
          Saint Pierre and Miquelon,1982,..,..,..,..
          Saint Pierre and Miquelon,1983,..,..,..,..
          Saint Pierre and Miquelon,1984,..,..,..,..
          Saint Pierre and Miquelon,1985,..,..,..,..
          Saint Pierre and Miquelon,1986,..,..,..,..
          Saint Pierre and Miquelon,1987,..,..,..,..
          Saint Pierre and Miquelon,1988,..,..,..,..
          Saint Pierre and Miquelon,1989,..,..,..,..
          Saint Pierre and Miquelon,1990,..,..,..,..
          Saint Pierre and Miquelon,1991,..,..,..,..
          Saint Pierre and Miquelon,1992,..,..,..,..
          Saint Pierre and Miquelon,1993,..,..,..,..
          Saint Pierre and Miquelon,1994,..,..,..,..
          Saint Pierre and Miquelon,1995,..,..,..,..
          Saint Pierre and Miquelon,1996,..,..,..,..
          Saint Pierre and Miquelon,1997,..,..,..,..
          Saint Pierre and Miquelon,1998,..,..,..,..
          Saint Pierre and Miquelon,1999,..,..,..,..
          Saint Pierre and Miquelon,2000,..,..,..,..
          Saint Pierre and Miquelon,2001,..,..,..,..
          Saint Pierre and Miquelon,2002,..,..,..,..
          Saint Pierre and Miquelon,2003,..,..,..,..
          Saint Pierre and Miquelon,2004,..,..,..,..
          Saint Pierre and Miquelon,2005,..,..,..,..
          Saint Pierre and Miquelon,2006,..,..,..,..
          Saint Pierre and Miquelon,2007,..,..,..,..
          Saint Pierre and Miquelon,2008,..,..,..,..
          Saint Pierre and Miquelon,2009,..,..,..,..
          Saint Pierre and Miquelon,2010,..,..,..,..
          Saint Pierre and Miquelon,2011,..,..,..,..
          Saint Vincent and the Grenadines,1980,1.2,11.94624191,0.000171686,1.710978023
          Saint Vincent and the Grenadines,1981,1.7,16.77918591,0.000226918,1.973964917
          Saint Vincent and the Grenadines,1982,3.2,31.33108141,0.000408161,3.20566875
          Saint Vincent and the Grenadines,1983,5.3,51.4988097,0.0006336,4.736358279
          Saint Vincent and the Grenadines,1984,6.7,64.62877041,0.000773767,5.501650967
          Saint Vincent and the Grenadines,1985,8.5,81.41606483,0.000860674,6.354145096
          Saint Vincent and the Grenadines,1986,15.87,150.9660112,0.001396623,10.5200617
          Saint Vincent and the Grenadines,1987,20.83,196.845557,0.001557828,12.36134057
          Saint Vincent and the Grenadines,1988,29.94,281.21918,0.001958806,15.38920452
          Saint Vincent and the Grenadines,1989,40.53,378.7284144,0.002205211,19.22664324
          Saint Vincent and the Grenadines,1990,48.2,448.5849101,0.00231603,20.51451989
          Saint Vincent and the Grenadines,1991,57.096,529.8686836,0.002435361,22.68919895
          Saint Vincent and the Grenadines,1992,70.996,657.6748495,0.002927319,25.66028246
          Saint Vincent and the Grenadines,1993,102.396,947.6636033,0.003925098,36.2047227
          Saint Vincent and the Grenadines,1994,149.681,1384.794012,0.005248641,51.87634956
          Saint Vincent and the Grenadines,1995,180.322,1668.304236,0.005244843,57.58737561
          Saint Vincent and the Grenadines,1996,222.967,2063.573009,0.005594001,67.51353552
          Saint Vincent and the Grenadines,1997,315.437,2921.28099,0.006874691,90.57483417
          Saint Vincent and the Grenadines,1998,404.389,3747.569666,0.007017466,107.4450996
          Saint Vincent and the Grenadines,1999,461.185,4275.417404,0.006461419,117.859765
          Saint Vincent and the Grenadines,2000,498.93,4624.38943,0.006697027,125.5333563
          Saint Vincent and the Grenadines,2001,519.97,4815.116634,0.006953715,120.6375081
          Saint Vincent and the Grenadines,2002,554.018,5122.681461,0.007385708,119.7512349
          Saint Vincent and the Grenadines,2003,609.183,5622.155158,0.006489285,126.282686
          Saint Vincent and the Grenadines,2004,674.869,6216.209495,0.006079537,129.1505454
          Saint Vincent and the Grenadines,2005,714.956,6574.005793,0.006183132,129.6541135
          Saint Vincent and the Grenadines,2006,824.069,7565.957877,0.005762556,134.8631842
          Saint Vincent and the Grenadines,2007,954.552,8752.539886,0.005332373,139.4132214
          Saint Vincent and the Grenadines,2008,1113.796,10201.65235,0.007208436,159.3106274
          Saint Vincent and the Grenadines,2009,1210.888,11081.71577,0.006711864,180.1097856
          Saint Vincent and the Grenadines,2010,1313.828,12016.75615,0.006599941,194.7074231
          Saint Vincent and the Grenadines,2011,1448.959,13248.83647,0.007089465,202.4540853
          Samoa,1980,1.198333333,7.730384821,0.000171447,1.069549133
          Samoa,1981,1.396111111,8.978899408,0.000186355,1.325709248
          Samoa,1982,1.556481482,9.988266016,0.00019853,1.441097145
          Samoa,1983,1.456481482,9.3291239,0.000174118,1.461321484
          Samoa,1984,1.466481482,9.372944231,0.000169361,1.507194822
          Samoa,1985,1.896481482,12.0857352,0.00019203,2.227049842
          Samoa,1986,1.696481482,10.76919134,0.000149297,1.886089228
          Samoa,1987,2.246481482,14.19218827,0.000168009,2.256850539
          Samoa,1988,2.366481482,14.86604736,0.000154826,1.998098557
          Samoa,1989,2.523148148,15.75018507,0.000137283,2.305970169
          Samoa,1990,9.123148148,56.55731984,0.000438371,8.142627108
          Samoa,1991,12.31314815,75.77135423,0.000525203,11.01263708
          Samoa,1992,17.31314815,105.7033283,0.000713859,14.68853167
          Samoa,1993,22.31314815,135.0903794,0.00085532,18.81603039
          Samoa,1994,25.31314815,151.8831416,0.000887619,12.84937352
          Samoa,1995,28.75314815,170.888273,0.000836314,14.3499105
          Samoa,1996,29.91314815,175.9917876,0.000750489,13.25856764
          Samoa,1997,49.90314815,290.529838,0.001087598,20.42550831
          Samoa,1998,52.90314815,304.8417288,0.000918042,23.51507309
          Samoa,1999,54.90314815,313.4295917,0.000769219,23.92151121
          Samoa,2000,53.36314815,302.25687,0.000716282,23.10113194
          Samoa,2001,54.56314815,307.1471088,0.000729689,22.79538607
          Samoa,2002,54.49314815,305.3042678,0.000726457,20.64373275
          Samoa,2003,55.00314815,307.0383003,0.000585918,17.10789329
          Samoa,2004,57.2399789,318.53254,0.000515645,14.87102077
          Samoa,2005,53.59836936,297.377172,0.000463533,12.31588058
          Samoa,2006,15.32726569,84.79064473,0.000107181,3.390534312
          Samoa,2007,20.96825893,115.669715,0.000117134,3.798531897
          Samoa,2008,31.05452342,170.8085046,0.000200983,5.685724707
          Samoa,2009,44.15884384,242.0975973,0.000244769,8.417929721
          Samoa,2010,51.3398532,280.4215249,0.000257903,8.38748501
          Samoa,2011,60.00993563,326.3644432,0.000293617,8.798908248
          San Marino,1980,..,..,..,..
          San Marino,1981,..,..,..,..
          San Marino,1982,..,..,..,..
          San Marino,1983,..,..,..,..
          San Marino,1984,..,..,..,..
          San Marino,1985,..,..,..,..
          San Marino,1986,..,..,..,..
          San Marino,1987,..,..,..,..
          San Marino,1988,..,..,..,..
          San Marino,1989,..,..,..,..
          San Marino,1990,..,..,..,..
          San Marino,1991,..,..,..,..
          San Marino,1992,..,..,..,..
